ONTARIO STORES,,,,,,,,,,
Canadian Home Brew Supplies,http://homebrewsupplies.ca/,Chs-Store@Bellnet.ca,905-450-0191,"10 Wilkinson Rd.
Brampton, ON  L6T 5B1",ON,Yes,,http://homebrewsupplies.ca/search/?query=fast+rack&records=6,,No
Brewmonger,http://thebrewmonger.ca/,jeff@thebrewmonger.ca,289-362-0330,"83 Merritt St,  St Catherines Canada, ON L2P 1P7",ON,Yes,,,,
Toronto Brewing,http://www.torontobrewing.ca/servlet/StoreFront,info@torontobrewing.ca,N/A,"3701 Chesswood Drive. Unit 115 Toronto, ON M3J2P6",ON,NO,,,,
Ontario Beer Kegs,http://www.ontariobeerkegs.com/,sales@ontariobeerkegs.com,(855) 534-2337,"145 West St., Mitchell, ON N0K 1N0, Canada",ON,NO,,,,
4,,,,,,,,,,
BC STORES,,,,,,,,,,
Bosagrape Winery and Beer Supplies,www.bosagrape.com,info@bosagrape.com,604-473-9463,"6908 Palm Ave.
Burnaby, B.C. Canada V5J 4M3",BC,Yes,,http://ecom.bosagrape.com/product.php?productid=20159&cat=&page=1,,No
Michael's Beer Factory,http://www.michaelsbeerfactory.com/,mfactory@telus.net,(250) 762-2337‰Û_,"2000 Spall Rd. Kelowna, BC V1Y 9P6",BC,Yes,,Nothing shown on website,,
2,,,,,,,,,,
NOVA SCOTIA STORES,,,,,,,,,,
Noble Grape,http://noblegrape.ca/,burnside@noblegrape.ca,(902) 468-9463,"95 Akerley Blvd.
Dartmouth, Nova Scotia B3B 1R7",NS,Yes,,No,,No
Noble Grape,http://noblegrape.ca/,mainstreet@noblegrape.ca,(902) 465-(9463),"754 Main St.
Dartmouth, Nova Scotia B2W 3T8",NS,Yes,,""" """,,""" """
Noble Grape,http://noblegrape.ca/,coleharbour@noblegrape.ca,(902) 435-(9463),"900 Cole Harbour Rd.
Dartmouth, Nova Scotia B2V 2J5",NS,Yes,,""" """,,""" """
Noble Grape,http://noblegrape.ca/,bayerslake@noblegrape.ca,(902) 457-(9463),"362 Lacewood Dr. 
Halifax, Nova Scotia B3S 1M7",NS,Yes,,""" """,,""" """
Noble Grape,http://noblegrape.ca/,quinpool@noblegrape.ca,(902) 423-(2739),"6112 Quinpool Rd.
Halifax, Nova Scotia B3L 1A3",NS,Yes,,""" """,,""" """
Noble Grape,http://noblegrape.ca/,sackville@noblegrape.ca,(902) 865-(2739),"720 Sackville Dr.
Lower Sackville, Nova Scotia B4E 3A4",NS,Yes,,""" """,,""" """
Noble Grape,http://noblegrape.ca/,coldbrook@noblegrape.ca,(902) 679-0969,"7145 Highway #1.
Coldbrook, NS
B4R 1A2",NS,Yes,,""" """,,""" """
Noble Grape,http://noblegrape.ca/,sales@discountoutlet.ca,902-837-6177,"159 Grosses Coques Rd.
Church Point, N.S.
B0W 1M0",NS,Yes,,,,
Brewers Delight,,,902-543-4344,"419 King St.
Bridgewater, NS
B4V 1B1",NS,Yes,,,,
Maritime Wine & Beer Emporium,http://www.wineemporium.ca/,info@wineemporium.ca,(902) 454-8278,"6015 Lady Hammond Rd.
Halifax NS, B3K 2R6",NS,Yes,,,,
10,,,,,,,,,,
NEW BRUNSWICK STORES,,,,,,,,,,
Noble Grape,http://noblegrape.ca/,fredericton@noblegrape.ca,(506) 450-9463,"1111 Regent St.
Fredericton, New Brunswick E3B 3Z2",NB,Yes,,""" """,,""" """
E & L Wine & Brew,http://elwineandbrew.com/,info@elwineandbrew.com,506-855-3393,"459 Elmwood Dr.
Moncton, NB
E1A 2X2",NB,Yes,,No,,No
Barley Malt & Vine,http://www.barleymaltvine.com/,info@barleymaltvine.com,506-652-4884,"71 City Rd.
Saint John NB
E2L 3M6",NB,Yes,,No,,No
3,,,,,,,,,,
MANITOBA STORES,,,,,,,,,,
Brewer's Direct,http://www.brewersdirect.com/,,(204) 571-6780,"2-817 ROSSER AVE.
Brandon MB",MB,,,,,
Brewer's Direct,http://www.brewersdirect.com/,,(204) 253-5666,"1117 ST. MARY‰ÛªS RD
Winnipeg MB R2M 3T7",MB,,,,,
Brewer's Direct,http://www.brewersdirect.com/,,(204) 661-6150,"2-1514 REGENT AVE.
Winnipeg MB R2C 4M4",MB,,,,,
Brewer's Direct,http://www.brewersdirect.com/,,(204) 775-9234,"1400A SARGENT AVE.
Winnipeg MB R3E 0G5",MB,,,,,
